HS;11 let N=48;12 let N=397;13 let N=636;14 let N=129;15 let  N=71;16 let N=149;17 let N=355;18 let N=387;19 let N=27;20 let N=5;;;;
30;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;
28;;100,00%;100,00%;;;;99,70%;100,00%;;;;;;
27;;;99,50%;;100,00%;100,00%;98,30%;98,90%;;;;;;
26;;99,70%;99,00%;;97,10%;96,60%;94,60%;95,80%;;;;;;
25;;99,20%;98,80%;;;92,50%;89,20%;90,40%;;100,00%;;;;
24;;98,40%;98,20%;;88,50%;83,10%;81,90%;83,40%;96,10%;;;;;
23;100,00%;96,90%;96,30%;97,60%;75,70%;74,30%;72,00%;74,00%;;;;;;
22;;95,20%;93,00%;96,80%;68,50%;66,20%;64,90%;65,20%;84,60%;;;;;
21;97,80%;91,60%;89,60%;92,90%;58,50%;55,40%;56,40%;57,70%;76,90%;75,00%;;;;
20;93,60%;87,30%;84,00%;86,70%;54,20%;48,60%;50,20%;43,50%;73,00%;50,00%;;;;
19;87,20%;80,00%;79,80%;81,20%;47,10%;40,50%;39,20%;37,30%;65,30%;;;;;
18;82,90%;72,40%;73,50%;69,50%;40,00%;33,10%;29,90%;27,90%;53,80%;25,00%;;;;
17;80,80%;64,30%;63,40%;64,00%;30,00%;26,30%;22,30%;21,20%;42,30%;;;;;
16;76,50%;54,70%;54,10%;53,90%;25,70%;19,50%;15,80%;16,50%;38,40%;;;;;
15;;46,20%;45,50%;42,90%;20,00%;14,80%;11,20%;12,90%;23,00%;;;;;
14;68,00%;34,50%;34,90%;33,50%;17,10%;11,40%;9,80%;9,00%;15,30%;;;;;
13;59,50%;25,50%;25,50%;25,70%;12,80%;9,40%;6,70%;6,20%;;;;;;
12;42,50%;18,90%;18,40%;18,70%;7,10%;5,40%;5,30%;4,60%;3,80%;0,00%;;;;
11;36,10%;9,80%;11,60%;11,70%;4,20%;4,00%;3,10%;3,80%;;;;;;
10;25,50%;6,30%;8,00%;10,10%;1,40%;2,70%;2,50%;1,20%;;;;;;
9;19,10%;3,20%;4,80%;4,60%;0,00%;0,60%;1,10%;0,70%;;;;;;
8;10,60%;2,00%;2,80%;2,30%;;0,00%;0,50%;0,50%;0,00%;;;;;
7;4,20%;1,00%;1,20%;;;;0,20%;0,20%;;;;;;
6;2,10%;0,50%;0,90%;;;;;0,00%;;;;;;
5;0,00%;0,20%;0,40%;0,70%;;;0,00%;;;;;;;
4;;0,00%;0,30%;0,00%;;;;;;;;;;
3;;;0,10%;;;;;;;;;;;
2;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;
0;;;0,00%;;;;;;;;;;;
